"house","name","species","gender","extra","mainspecies","House","mainspecies_n","long","lat","jitterlat","jitterlong","mscolor"
67,NA,"chicken","Girls",NA,"chicken","67",4,5.672782,51.9887806,51.9887898412306,5.67282606383823,"#FB8072"
67,NA,"chicken","Girls",NA,"chicken","67",4,5.672782,51.9887806,51.9888271016744,5.67287522463474,"#FB8072"
67,"Wanda","chicken","Girls","being bullied","chicken","67",4,5.672782,51.9887806,51.9887244870294,5.6728833118426,"#FB8072"
67,"Mrs Brown","chicken","Girls","alpha female","chicken","67",4,5.672782,51.9887806,51.9887978805566,5.67290963218339,"#FB8072"
67,"Beyonce","chicken","Girls","fat butt","chicken","67",4,5.672782,51.9887806,51.9888314606486,5.67270633716298,"#FB8072"
67,"Beatrix","chicken","Girls",NA,"chicken","67",4,5.672782,51.9887806,51.9888103807487,5.67283049443253,"#FB8072"
67,"Sir Hamshire","chicken","Boys","gentle giant","chicken","67",4,5.672782,51.9887806,51.9887785835488,5.6728524954171,"#FB8072"
67,"Jamie Lenister","cat","Boys","pretty boy","cat","67",3,5.672782,51.9887806,51.9888017295416,5.67271096602006,"#BEBADA"
67,"Kaa","rat snake","unknown",NA,"rat snake","67",8,5.672782,51.9887806,51.9887213878381,5.67264949930667,"#FCCDE5"
55,"Nila","cat","unknown","Bouncy chatty,  scared in the house but not in the room!","cat","55",3,5.6733547,51.9891231,51.9891279511955,5.67336947004126,"#BEBADA"
55,"Pieouw","cat","unknown","Big eyed (staring!)","cat","55",3,5.6733547,51.9891231,51.9890749158559,5.67342364461506,"#BEBADA"
55,"Roesj","cat","unknown","Little thief (and terrorizing Nila)","cat","55",3,5.6733547,51.9891231,51.9891666424686,5.67351703635067,"#BEBADA"
55,NA,"chicken","Girls",NA,"chicken","55",4,5.6733547,51.9891231,51.9891143125333,5.67339880684284,"#FB8072"
55,NA,"chicken","Girls",NA,"chicken","55",4,5.6733547,51.9891231,51.9891240841992,5.67332817478177,"#FB8072"
55,NA,"chicken","Girls",NA,"chicken","55",4,5.6733547,51.9891231,51.9891681930233,5.67342825267228,"#FB8072"
55,NA,"chicken","Girls",NA,"chicken","55",4,5.6733547,51.9891231,51.9891220901046,5.67343144006228,"#FB8072"
55,NA,"chicken","Boys",NA,"chicken","55",4,5.6733547,51.9891231,51.9891010232084,5.67346138241915,"#FB8072"
33,"Elisabeth","cat","unknown","Mysterious colourful","cat","33",3,5.6731636,51.9887094,51.9886558334371,5.67304191174836,"#BEBADA"
33,NA,"chicken","Girls",NA,"chicken","33",4,5.6731636,51.9887094,51.9886872416878,5.67306927467695,"#FB8072"
33,NA,"chicken","Girls",NA,"chicken","33",4,5.6731636,51.9887094,51.98873613233,5.67308621973659,"#FB8072"
33,NA,"chicken","Girls",NA,"chicken","33",4,5.6731636,51.9887094,51.9887227564161,5.67299117641276,"#FB8072"
33,NA,"chicken","Girls",NA,"chicken","33",4,5.6731636,51.9887094,51.988722193624,5.67302680854095,"#FB8072"
33,NA,"chicken","Girls",NA,"chicken","33",4,5.6731636,51.9887094,51.9887583796011,5.67298584201686,"#FB8072"
33,NA,"chicken","Girls",NA,"chicken","33",4,5.6731636,51.9887094,51.9887163889619,5.67329921749606,"#FB8072"
33,NA,"chicken","Boys",NA,"chicken","33",4,5.6731636,51.9887094,51.9886567979348,5.67327914115035,"#FB8072"
33,NA,"stickleback","unknown","fifteen","other","33",1,5.6731636,51.9887094,51.9886963992103,5.67316833216672,"#8DD3C7"
35,"Willem","cat","unknown","Old,  dominant","cat","35",3,5.67395,51.9888332,51.9888541974303,5.67412754474317,"#BEBADA"
35,"Felix","cat","unknown","Dominant","cat","35",3,5.67395,51.9888332,51.9888803625143,5.67403089523756,"#BEBADA"
35,"Poema","cat","unknown","Insecure","cat","35",3,5.67395,51.9888332,51.9888551181524,5.67408031987719,"#BEBADA"
35,NA,"chicken","Girls",NA,"chicken","35",4,5.67395,51.9888332,51.9888470227567,5.67381504560795,"#FB8072"
35,NA,"chicken","Girls",NA,"chicken","35",4,5.67395,51.9888332,51.9888200182662,5.67403940431398,"#FB8072"
35,NA,"chicken","Girls",NA,"chicken","35",4,5.67395,51.9888332,51.9888212373174,5.67400069098326,"#FB8072"
35,NA,"chicken","Girls",NA,"chicken","35",4,5.67395,51.9888332,51.9888734025308,5.67403586191417,"#FB8072"
35,NA,"chicken","Girls",NA,"chicken","35",4,5.67395,51.9888332,51.9888269828204,5.67411137346328,"#FB8072"
